name,price,image,rating,reviews
WASIM AKRAM 502,"PKR 5,900.00","https://www.junaidjamshed.com/media/catalog/product/w/a/wasim_akram_502_1__3_1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=755&width=589&canvas=589:755",,
MIKA,"PKR 3,000.00","https://www.junaidjamshed.com/media/catalog/product/m/i/mika-front_1_1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=755&width=589&canvas=589:755",,
KHUMAR,"PKR 4,300.00","https://www.junaidjamshed.com/media/catalog/product/k/h/khumaar1_2_1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=755&width=589&canvas=589:755",,
EDGE,"PKR 5,800.00","https://www.junaidjamshed.com/media/catalog/product/e/d/edge_1__1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=755&width=589&canvas=589:755",,
J.EXCLUSIVE,"PKR 4,300.00","https://www.junaidjamshed.com/media/catalog/product/e/x/exclusive_1__2.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=755&width=589&canvas=589:755",,
WHITE MUSK,"PKR 4,500.00","https://www.junaidjamshed.com/media/catalog/product/w/h/white_musk1_1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=755&width=589&canvas=589:755",,
ADDICTED,"PKR 5,700.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
ZARAR GOLD,"PKR 4,400.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
WASIM AKRAM 414,"PKR 5,300.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
JANAN GOLD POUR HOMME PERFUME BODY SPRAY,PKR 700.00,https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
OUD-AL-JUNAID,"PKR 4,400.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
INTENSO,"PKR 5,000.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
RHYTHM POUR HOMME,"PKR 5,000.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
VOCAL,"PKR 7,000.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
