title,price,url
THE PERSIAN COLLECTION DISCOVERY KIT | 3 Fragrances + Atomiser + Refilling tool,"PKR 2,280",https://mtjonline.com/collections/fragrances/products/the-persian-collection-discovery-kit
ORIENTAL COLLECTION DISCOVERY SET | 5 Fragrances + Atomiser,"PKR 2,780",https://mtjonline.com/collections/fragrances/products/oriental-collection
HIMALAYAN INSPIRATIONS (3 Fragrances + Atomizer),"PKR 2,280",https://mtjonline.com/collections/fragrances/products/himalayan-inspirations
THE GOLD COLLECTION DISCOVERY SET | 3 Fragrances + Atomiser,"PKR 2,280",https://mtjonline.com/collections/fragrances/products/gold-miniatures
FATEH,"PKR 4,990",https://mtjonline.com/collections/fragrances/products/fateh
AMEER,"PKR 4,990",https://mtjonline.com/collections/fragrances/products/ameer
SADAR,"PKR 4,990",https://mtjonline.com/collections/fragrances/products/sadar
HER REFLECTION,"PKR 4,240",https://mtjonline.com/collections/fragrances/products/her-reflection
OUD ENIGMA,"PKR 5,450",https://mtjonline.com/collections/fragrances/products/oud-enigma
NEROLI PASSION,"PKR 5,450",https://mtjonline.com/collections/fragrances/products/neroli-passion
GOLD ARMANO,"PKR 5,450",https://mtjonline.com/collections/fragrances/products/gold-armano
AL HAMRA,"PKR 5,750",https://mtjonline.com/collections/fragrances/products/al-hamra
AL HAYAT,"PKR 5,750",https://mtjonline.com/collections/fragrances/products/al-hayat
SABAYA,"PKR 5,750",https://mtjonline.com/collections/fragrances/products/sabaya
OUD DESIRE,"PKR 5,750",https://mtjonline.com/collections/fragrances/products/oud-desire
VANILLA MAGIC,"PKR 5,750",https://mtjonline.com/collections/fragrances/products/vanilla-magic
OMBRE ORIENTAL,"PKR 5,750",https://mtjonline.com/collections/fragrances/products/ombre-oriental
NEON POUR HOMME,"PKR 3,990",https://mtjonline.com/collections/fragrances/products/neon-pour-homme
DIRECTION POUR HOMME,"PKR 4,290",https://mtjonline.com/collections/fragrances/products/direction-pour-homme
OUD E SULTAN,"PKR 6,550",https://mtjonline.com/collections/fragrances/products/oud-e-sultan-1
OUD E YOUSUF,"PKR 6,550",https://mtjonline.com/collections/fragrances/products/oud-e-yousuf-1
OUD E AFRAZ,"PKR 6,350",https://mtjonline.com/collections/fragrances/products/oud-e-afraz-1
BISHAAR,"PKR 5,750",https://mtjonline.com/collections/fragrances/products/bishaar-1
OUD E AZEEM,"PKR 6,750",https://mtjonline.com/collections/fragrances/products/oud-e-azeem-1
MAHOOR,"PKR 5,820",https://mtjonline.com/collections/fragrances/products/mahoor
FARAS VALLEY,"PKR 5,820",https://mtjonline.com/collections/fragrances/products/faras-valley
HIMALAYAN MUSK,"PKR 5,820",https://mtjonline.com/collections/fragrances/products/himalayan-musk-1
PERSIAN OUD,"PKR 5,820",https://mtjonline.com/collections/fragrances/products/persian-oud
JAMALIYAT,"PKR 5,820",https://mtjonline.com/collections/fragrances/products/jamaliyat
MUSK PURO,"PKR 5,750",https://mtjonline.com/collections/fragrances/products/musk-puro-1
OUD ROSE,"PKR 5,750",https://mtjonline.com/collections/fragrances/products/oud-rose
MUSK ROSE,"PKR 5,750",https://mtjonline.com/collections/fragrances/products/musk-rose
OUD PASSION,"PKR 5,750",https://mtjonline.com/collections/fragrances/products/oud-passion-2
RED AMBER,"PKR 5,750",https://mtjonline.com/collections/fragrances/products/red-amber-1
OMBRE BLACK,"PKR 3,990",https://mtjonline.com/collections/fragrances/products/ombre-black
SHOCK,"PKR 3,990",https://mtjonline.com/collections/fragrances/products/shock-pour-homme
PEARL WHITE,"PKR 3,990",https://mtjonline.com/collections/fragrances/products/pearl-white-fragrance
ENERGY,"PKR 3,990",https://mtjonline.com/collections/fragrances/products/energy-pour-homme
HORIZON,"PKR 2,680",https://mtjonline.com/collections/fragrances/products/horizon
OCEANICA,"PKR 3,250",https://mtjonline.com/collections/fragrances/products/oceanica
TRADITIONS,"PKR 2,680",https://mtjonline.com/collections/fragrances/products/traditions
SEA SPICE,"PKR 3,250",https://mtjonline.com/collections/fragrances/products/sea-spice
BLACK STALLION,"PKR 2,680",https://mtjonline.com/collections/fragrances/products/black-stallion
ANGELITE,"PKR 5,450",https://mtjonline.com/collections/fragrances/products/angelite
EMERALD,"PKR 5,450",https://mtjonline.com/collections/fragrances/products/emerald
HISPAR,"PKR 5,450",https://mtjonline.com/collections/fragrances/products/hispar-1
KYANITE,"PKR 5,450",https://mtjonline.com/collections/fragrances/products/kyanite-1
ROWAN,"PKR 5,450",https://mtjonline.com/collections/fragrances/products/rowan-1
BELIEF,"PKR 4,290",https://mtjonline.com/collections/fragrances/products/belief
STUDIO FRAGRANCE (6638674116782),"PKR 4,290",https://mtjonline.com/collections/fragrances/products/studio-pour-homme
ELIXIR GOLD,"PKR 4,290",https://mtjonline.com/collections/fragrances/products/elixir-gold-pour-homme
HARBOUR INTENSE,"PKR 4,290",https://mtjonline.com/collections/fragrances/products/harbour-intense-pour-homme
MAQAAM,"PKR 3,890",https://mtjonline.com/collections/fragrances/products/maqaam
KINGDOM POUR HOMME,"PKR 4,190",https://mtjonline.com/collections/fragrances/products/kingdom-pour-homme
ESSENTIAL POUR HOMME,"PKR 4,190",https://mtjonline.com/collections/fragrances/products/essential-pour-homme
QALAM,"PKR 4,990",https://mtjonline.com/collections/fragrances/products/qalam
KHUS LOVE FOR VETIVER FRAGRANCE (6638687846574),"PKR 4,490",https://mtjonline.com/collections/fragrances/products/khus-love-for-vetiver
GOLD COLLECTION BOX,"PKR 15,900",https://mtjonline.com/collections/fragrances/products/gold-collection-box
ALAYA,"PKR 4,240",https://mtjonline.com/collections/fragrances/products/alaya
WHITE BOUQUET,"PKR 4,240",https://mtjonline.com/collections/fragrances/products/white-bouquet
EVENTIDE,"PKR 4,240",https://mtjonline.com/collections/fragrances/products/eventide
SWEET FLORA,"PKR 4,240",https://mtjonline.com/collections/fragrances/products/sweet-flora
PARADISE POUR FEMME,"PKR 3,890",https://mtjonline.com/collections/fragrances/products/paradise-pour-femme
BISHAAR ATTAR,"PKR 2,780",https://mtjonline.com/collections/fragrances/products/bishaar-attar-1
OUD E AZEEM ATTAR,"PKR 2,780",https://mtjonline.com/collections/fragrances/products/oud-e-azeem-attar-1
OUD E YOUSUF ATTAR,"PKR 2,780",https://mtjonline.com/collections/fragrances/products/oud-e-yousuf-attar-1
ROYAL MUSK-ATTAR,"PKR 2,880",https://mtjonline.com/collections/fragrances/products/royal-musk-attar
DEHN AL OUD ATTAR,"PKR 4,690",https://mtjonline.com/collections/fragrances/products/dehn-al-oud-attar-1
MUSKY ROSE-ATTAR,"PKR 2,880",https://mtjonline.com/collections/fragrances/products/musky-rose-attar
MUSK SILK-ATTAR,"PKR 2,880",https://mtjonline.com/collections/fragrances/products/musk-silk-attar
OUD E AFRAZ ATTAR,"PKR 2,780",https://mtjonline.com/collections/fragrances/products/oud-e-afraz-attar
AL FATEH ATTAR,"PKR 2,740",https://mtjonline.com/collections/fragrances/products/al-fateh-attar
MOONLIGHT,"PKR 1,550",https://mtjonline.com/collections/fragrances/products/moonlight-1
KIDS COLLECTION GIFT SET,"PKR 7,680",https://mtjonline.com/collections/fragrances/products/kids-collection-gift-set
ALMOND DELIGHT,PKR 850,https://mtjonline.com/collections/fragrances/products/almond-delight
WILDFLOWER,PKR 850,https://mtjonline.com/collections/fragrances/products/wildflower
INFINITE JOY,PKR 850,https://mtjonline.com/collections/fragrances/products/infinite-joy
BONBONLIME,PKR 850,https://mtjonline.com/collections/fragrances/products/bonbonlime
QUEEN OF HEARTS,PKR 850,https://mtjonline.com/collections/fragrances/products/queen-of-hearts
ORIENT EXPRESS,PKR 850,https://mtjonline.com/collections/fragrances/products/orient-express
ALMOST PARADISE,PKR 850,https://mtjonline.com/collections/fragrances/products/almost-paradise
WALK ON THE MOON,PKR 850,https://mtjonline.com/collections/fragrances/products/walk-on-the-moon
TAEF ROSE FABRIC SCENT / ROOM SPRAY,"PKR 1,450",https://mtjonline.com/collections/fragrances/products/taef-rose-fabric-scent-room-spray
JAMALIYAT FABRIC SCENT / ROOM SPRAY,"PKR 1,450",https://mtjonline.com/collections/fragrances/products/jamaliyat-fabric-scent-room-spray
OUD & ROSE FABRIC SCENT / ROOM SPRAY,"PKR 1,450",https://mtjonline.com/collections/fragrances/products/oud-rose-fabric-scent-room-spray
ROSE MUSK FABRIC SCENT / ROOM SPRAY,"PKR 1,450",https://mtjonline.com/collections/fragrances/products/rose-musk-fabric-scent-room-spray
BUNDLE OF 4 FABRIC SCENT / ROOM SPRAY,"PKR 5,800",https://mtjonline.com/collections/fragrances/products/bundle-of-4-fabric-scent-room-spray
FABRIC SCENT GIFT SET,"PKR 4,100",https://mtjonline.com/collections/fragrances/products/fabric-scent-gift-set
HIMALAYAN MUSK-ATTAR,"PKR 2,990",https://mtjonline.com/collections/fragrances/products/himalayan-musk-attar
ZIRAN,"PKR 1,550",https://mtjonline.com/collections/fragrances/products/ziran-1
FLORIS,"PKR 1,550",https://mtjonline.com/collections/fragrances/products/floris-1
SOLACE,"PKR 1,550",https://mtjonline.com/collections/fragrances/products/solace-1
REEFEST,"PKR 1,550",https://mtjonline.com/collections/fragrances/products/reefest-1
