title,price,url
MOONLIGHT,"PKR 1,550",https://mtjonline.com/collections/fragrances/products/moonlight-1
KIDS COLLECTION GIFT SET,"PKR 7,680",https://mtjonline.com/collections/fragrances/products/kids-collection-gift-set
ALMOND DELIGHT,PKR 850,https://mtjonline.com/collections/fragrances/products/almond-delight
WILDFLOWER,PKR 850,https://mtjonline.com/collections/fragrances/products/wildflower
INFINITE JOY,PKR 850,https://mtjonline.com/collections/fragrances/products/infinite-joy
BONBONLIME,PKR 850,https://mtjonline.com/collections/fragrances/products/bonbonlime
QUEEN OF HEARTS,PKR 850,https://mtjonline.com/collections/fragrances/products/queen-of-hearts
ORIENT EXPRESS,PKR 850,https://mtjonline.com/collections/fragrances/products/orient-express
ALMOST PARADISE,PKR 850,https://mtjonline.com/collections/fragrances/products/almost-paradise
WALK ON THE MOON,PKR 850,https://mtjonline.com/collections/fragrances/products/walk-on-the-moon
TAEF ROSE FABRIC SCENT / ROOM SPRAY,"PKR 1,450",https://mtjonline.com/collections/fragrances/products/taef-rose-fabric-scent-room-spray
JAMALIYAT FABRIC SCENT / ROOM SPRAY,"PKR 1,450",https://mtjonline.com/collections/fragrances/products/jamaliyat-fabric-scent-room-spray
OUD & ROSE FABRIC SCENT / ROOM SPRAY,"PKR 1,450",https://mtjonline.com/collections/fragrances/products/oud-rose-fabric-scent-room-spray
ROSE MUSK FABRIC SCENT / ROOM SPRAY,"PKR 1,450",https://mtjonline.com/collections/fragrances/products/rose-musk-fabric-scent-room-spray
BUNDLE OF 4 FABRIC SCENT / ROOM SPRAY,"PKR 5,800",https://mtjonline.com/collections/fragrances/products/bundle-of-4-fabric-scent-room-spray
FABRIC SCENT GIFT SET,"PKR 4,100",https://mtjonline.com/collections/fragrances/products/fabric-scent-gift-set
HIMALAYAN MUSK-ATTAR,"PKR 2,990",https://mtjonline.com/collections/fragrances/products/himalayan-musk-attar
ZIRAN,"PKR 1,550",https://mtjonline.com/collections/fragrances/products/ziran-1
FLORIS,"PKR 1,550",https://mtjonline.com/collections/fragrances/products/floris-1
SOLACE,"PKR 1,550",https://mtjonline.com/collections/fragrances/products/solace-1
REEFEST,"PKR 1,550",https://mtjonline.com/collections/fragrances/products/reefest-1
